sub1,sub2,problem,verdict
0fd5b95a,6490bbe8,19,0
464a03b8,ff1fc018,20,0
3e6def38,548ffb07,14,1
0b91922c,71a4f6d2,6,0
9291ca83,d6fb3b9e,15,0
213340b3,35f0c004,4,0
7bc92b7f,9028caf7,19,0
6f393cfe,b185d034,15,0
1dab88fb,bac616ee,3,0
115c99cb,921b6e4a,14,1
5be7547e,cb032314,3,0
4e9c4bf9,7011024d,19,0
11c2ab99,bdfe8110,8,1
680ba922,6e207cbf,4,0
14b0fb8e,8ddb5587,19,0
16a2a867,3951966f,19,0
bf0df1d5,ea899386,9,1
b2001d68,ba468e1f,20,0
35eb27da,64ce7b1e,12,0
5aebbb1b,e647bef7,2,0
30e0cc81,b55888de,15,0
05f939b3,e647bef7,2,0
976fe834,da54dec3,10,0
a4d6775d,cb87df79,19,1
18e2441c,24b20554,9,1
b2590225,fdcbdf85,9,0
317a209c,6b97058e,14,1
3088ca9c,7a9c69d8,15,1
6946f466,ce7027ee,10,1
80881cae,9555b9d1,21,0
24afd00e,810fd282,1,0
6bcc5afd,734a94be,19,1
04ed33a5,6b83b22e,17,1
c1fef98f,f870e76b,8,0
949502c2,9fc811f7,2,1
4ea10951,66e74577,4,0
cdb801a1,ed610dc9,18,0
752ea9a5,b2ec0eff,9,0
701c3f35,d56bcb0c,4,0
317a209c,921b6e4a,14,1
6f02c6d9,ff34fab2,20,1
1be078c4,bb0949b3,8,0
01c915a2,480de7be,15,0
6be98ece,e1c4f3db,16,0
6825260d,c972dd00,4,1
2e1109d7,e7000ac2,19,1
9028caf7,d221162a,19,0
74b5ad88,dc575a6c,1,0
63a24497,6e5ab1d2,4,1
1097b326,a60fba84,18,0
3d06b643,6bcc5afd,19,1
6f02c6d9,884f5678,20,1
23194f89,bcc5473d,21,0
0d4d22e0,f898cee0,10,0
3dd65549,f229aa7f,4,0
44428e63,9debf95c,18,0
18e2441c,43b10dec,9,1
3a318b43,90b71536,1,0
3e6def38,e7dce35b,14,1
6bcc5afd,f6ca6fc8,19,1
7c11511f,ca8f11a4,4,1
1984bef1,2063ba3e,16,0
0df4050e,f5fde094,20,0
6e7cd58b,cfba313d,15,1
2470b521,f6ca6fc8,19,0
2f8c3bf3,a3abac01,8,1
66e74577,6e207cbf,4,0
1f6b81b1,51151974,15,0
